JEPG_SOI,FF D8
JEPG_SOF0,FF C0
JEPG_SOF2FF C2,
JEPG_DHT,FF C4
JEPG_DQT,FF DB
JEPG_DRI,FF DD
JEPG_SOS,FF DA
JEPG_RST0,FF D0
JEPG_RST1,FF D1
JEPG_RST2,FF D2
JEPG_RST3,FF D3
JEPG_RST4,FF D4
JEPG_RST5,FF D5
JEPG_RST6,FF D6
JEPG_RST7,FF D7
JEPG_APP0,FF E0
JEPG_APP1,FF E1
JEPG_APP2,FF E2
JEPG_APP3,FF E3
JEPG_APP4,FF E4
JEPG_APP5,FF E5
JEPG_APP6,FF E6
JEPG_APP7,FF E7
JEPG_APP8,FF E8
JEPG_APP9,FF E9
JEPG_APP10,FF EA
JEPG_APP11,FF EB
JEPG_APP12,FF EC
JEPG_APP13,FF ED
JEPG_APP14,FF EE
JEPG_APP15,FF EF
JEPG_COM,FF FE
JEPG_EOI,FF D9
